Serial_number,App_Size,App_Price,Installs,User_Rating,Content_Rating,Category,currency,Type
453,41772032,4.99,24306,4.5,4+,Games,USD,
455,81558528,0,105274,4.5,4+,Book,USD,
456,169009152,2.99,25475,4.5,4+,Utilities,USD,
457,62373888,0.99,8718,4,4+,Games,USD,
458,75417600,0,29492,3.5,4+,Entertainment,USD,
459,175157248,4.99,12787,4.5,4+,Entertainment,USD,
460,28118016,4.99,2237,4,17+,Utilities,USD,
461,15759360,0.99,108,4,4+,Utilities,USD,
462,109270016,0,25403,4.5,12+,Music,USD,
463,59411456,0,210,3.5,4+,Lifestyle,USD,
464,138755072,0,169,4,4+,Shopping,USD,
465,81845248,1.99,7447,4.5,4+,Productivity,USD,
466,132377600,2.99,12833,4.5,4+,Education,USD,
467,42027008,0,130450,5,4+,Utilities,USD,
469,81773568,0,1111,1.5,4+,Lifestyle,USD,
470,113814528,0,3194,4.5,12+,Sports,USD,
471,27815936,1.99,1399,2.5,4+,Business,USD,
473,226406400,0,1990,4.5,17+,Utilities,USD,
474,113119232,0,8149,4,4+,Shopping,USD,
475,55986176,4.99,29376,4.5,4+,Business,USD,
476,63022080,0,74,4.5,4+,Shopping,USD,
477,129657856,0,164249,4.5,4+,Social Networking,USD,
478,33989632,2.99,14605,4.5,4+,Games,USD,
479,74822656,0,130823,4.5,4+,Shopping,USD,
480,3462144,0.99,486,4.5,4+,Entertainment,USD,
481,3462266,0.99,8946,4.5,4+,Music,USD,
482,51794944,0.99,1993,4,4+,Games,USD,
483,154507264,0,43877,4.5,4+,Social Networking,USD,
484,72586240,0.99,2377,4.5,4+,Photo & Video,USD,
485,184689664,0,1590,4.5,17+,Entertainment,USD,
486,19534848,0.99,2070,4,4+,Games,USD,
488,108836864,3.99,11530,4.5,4+,Reference,USD,
489,89219072,0,194,4,17+,Lifestyle,USD,
490,83138560,0,200,3.5,4+,Business,USD,
491,104387584,0,16772,4.5,4+,Social Networking,USD,
492,77139968,0.99,9,4,4+,Games,USD,
493,28566528,0.99,2113,3.5,4+,Games,USD,
494,7990272,0,794,4,12+,News,USD,
495,122979328,0,8939,4,4+,Lifestyle,USD,
496,32918528,0,308,3.5,17+,Utilities,USD,
497,4034560,0,5,2,4+,Education,USD,
498,624107810,0.99,326482,5,12+,Games,USD,
499,309673984,0,3801,4,4+,Shopping,USD,
500,123541504,0,209,3.5,4+,Games,USD,
501,27619328,0.99,33868,4.5,4+,Games,USD,
502,30441472,0.99,13741,3.5,9+,Entertainment,USD,
503,100551680,0,18418,4.5,4+,Reference,USD,
504,209295360,4.99,21,1.5,4+,Health & Fitness,USD,
505,270729216,4.99,1588,3.5,4+,Games,USD,
506,140803072,0,8094,3,4+,Travel,USD,
507,17235968,0,1652,3,4+,Utilities,USD,
508,98450432,0.99,5482,4.5,4+,Productivity,USD,
509,685733888,13.99,611,4.5,12+,Medical,USD,
510,64041984,0,26697,4.5,4+,Utilities,USD,
511,106115072,0,317,4,17+,Lifestyle,USD,
512,444821504,4.99,14202,3.5,12+,Games,USD,
513,106445824,0,2064,2.5,4+,Education,USD,
514,72941568,0,746,4.5,4+,Utilities,USD,
515,30711808,0.99,0,0,12+,Entertainment,USD,
516,59248640,0,52642,3.5,17+,Social Networking,USD,
517,131428352,0,27317,2.5,4+,Sports,USD,
518,40472576,4.99,76,4,4+,Education,USD,
519,113954816,0,2161558,4.5,12+,Photo & Video,USD,
520,32130048,4.99,2554,4.5,4+,Productivity,USD,
521,35359744,0.99,1058,3.5,4+,Games,USD,
522,812010496,1.99,10382,4,4+,Games,USD,
523,3700705,0.99,1428,3.5,4+,Games,USD,
524,92392448,0,3134,2.5,4+,Entertainment,USD,
525,64325632,0,596,2.5,4+,Entertainment,USD,
526,511094784,4.99,4378,4.5,9+,Games,USD,
527,25960448,4.99,280,4,4+,Navigation,USD,
528,58826752,4.99,1045,4,4+,Entertainment,USD,
529,25309184,0,1110,4.5,17+,Utilities,USD,
530,39446528,4.99,11154,4.5,4+,Games,USD,
531,24419328,0,0,0,4+,Medical,USD,
532,209245184,0,258,2,17+,Finance,USD,
533,106458112,0.99,44567,4.5,4+,Games,USD,
534,116247552,0,3818,2.5,4+,Sports,USD,
535,117406720,9.99,7562,4.5,4+,Productivity,USD,
536,36942848,2.99,120,4.5,4+,Book,USD,
537,56954817,4.99,206,3,4+,Games,USD,
